"listTableLink","listTableLink href","alignLeft","alignLeft 2","listTableLink href 2"
"Peter Novick","https://researcherprofiles.org/profile/193820","Cellular and Molecular Medicine","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/193820&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Thomas Kipps","https://researcherprofiles.org/profile/193287","Medicine","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/193287&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Gregory Light","https://researcherprofiles.org/profile/194557","Psychiatry","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/194557&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Don Cleveland","https://researcherprofiles.org/profile/192799","Cellular and Molecular Medicine","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/192799&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Patrick Rohner","https://researcherprofiles.org/profile/416074158","Ecology, Behavior, and Evolution","Assistant Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/416074158&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Nicholas Wettersten","https://researcherprofiles.org/profile/29478772","Medicine","Associate Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/29478772&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Olivier George","https://researcherprofiles.org/profile/44515344","Psychiatry","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/44515344&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Michael Karin","https://researcherprofiles.org/profile/179676","Pharmacology","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/179676&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Michael Rosenfeld","https://researcherprofiles.org/profile/184868","Medicine","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/184868&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
"Nicholas Holland","https://researcherprofiles.org/profile/184359","Scripps Institution of Oceanography Department","Professor","https://profiles.ucsd.edu/search/default.aspx?searchtype=whypeople&nodeuri=https://researcherprofiles.org/profile/184359&searchfor=bio&exactphrase=false&perpage=100&offset=0&page=2&totalpages=22&searchrequest=A81BSfTwU3GNm4liSODkW6vB3EBYO6gz+a5TY1bFhuysXK4hqbI6eAebHoNTzab0+VLZJkUtJQgUbNpxv1/CKcVZ1gI6eTVotLeZakbJ+bL71WuIW2sOOieCSIGJyCqvT0iAMDJbJPd0j1+Plr1Tj/w6KBXnX6iC8uC2WTPYJKul2kaTLifnXDe211JWtglcKzKnmK1XNvBnKZGlH3KIswGZmmz2fuILma0Szu5A2+VJFa1Y7IlZssD9KUojaMxNJtMKc1oBsNQpX8xhQftEDeidlZHxr5KVoMsgtAM02YZ1s82zRvlZnPrjbJIyII8hLC74/q7o21GHy+5HvCX34E3WjJFbHriEsycv3nxOmvRy5KgcgJnHpHgxBTIO9PGer8qRnp1Z/yzJADpQ6jchvi77lcnGUA0SU83av2TqSmcE9qoCv8JbH5UzPnVNwLJxD+L29dQhWg9pF2jOOFZEaTF7nhB4Tu91TJhwiywSpwj17y+CSgdSf16W9E7HACQl0hzytT3pYjHdJryeU0bZyYtopUHTRRMqdadfwQ8JzoXJZDwvhWf0V1T1VqySKuRdasiPtLMUBKyK327yd2AJ1O8RXju4uCs+nJmnV2Ve/a9bgH0GhtpClbsYs24T0OP+6AsZV2L1ghCieYtksHIivTQcOWmV0ZPf/7IZKmnPOzXhCpKOYJD2lmfGEqFaf5LVlYZikhKLWgnSrT6Ay9Qnv2jvmF2HFOig+w5c9KRC2gQCtmrIcuMk+Q2jK1JS+SB9bSU6OWR6KdiILA5IJH6KvQWbPY/XBgX+Hk2w/aIiEEiSPL2qnX6ciUDcfof+wDlLilx0vwI8batftYSjMAtTSS4IMooYIuw7ogg4Lyw/5y6PfgpD/ZWT6OM7n7FnWErTtn8+wsdawlIgm5UyEYoawZ6fZp1mLPZZStwJuubwe/Uu+5XJxlANElPN2r9k6kpnBPaqAr/CWx+VMz51TcCycROZ86NGxUwMfKjkJPqWRjlMmHCLLBKnCPGW5H/akQuzggDWbYUze3Ou8zsogobUQFhfG6cXh0x95uitcJWeBrUs2mVskN3OPmaPl6OmsHBC0gtuPQeP25/uSJDsngUVX+54rvpcuJ29q8HcQFg7qDMNYIm1pJmJSJWzDHy2nw9vj8xM431+0iC4moSxWvg+WqV5UBr24uPn65HCimN9Ir7IRX2ORD17uMeO5TZfqG6zAJei5w7JqjuiyOFytEGpzItfRAJL6BXOyZmTRCU0RtrqmPKU0fOLSVV35kew5OQiQnv3EOh+q7Y=&sortby=&sortdirection=&showcolumns=10"
